Repetitive words,hero (21 repeated words within hero deleted),Comments,,villain(17 repeated words within deleted),Comments,,victim (24 repeated words within deleted),Comments
across categories,ability,,,abandon,,,abandon,
are highlited ,able,,,abandonment,,,abandoned,
in ,achievement,"also ""achieve/achieves/achieved""?",,abduct,,,abducted,
yellow,activism,,,abuse,,,abduction,
,activist,,,abused,,,abused,
,admire,,,abuses,,,accuses,
,admired,,,abusing,,,affected,
,advance,,,accuse,,,,
,advocate,,,accused,,,alone,
,affirming,,,accuses,,,angry,
,aided,,,addictive,,,anguished,
,allies,,,admit,,,anxiety,
,amazing,,,,,,apologized,
,,,,aggressive,,,assassinated,
,appeal,,,aggressively,,,assault,
,attractive,,,,,,asylum,
,authorities,,,alienate,,,,
,award,,,alleged,,,barricaded,
,awarded,,,,,,barrier,
,awesome,,,anger,,,,
,,,,,,,forced,
,,,,apologized,,,be killed,
,,,,,,,seized,
,bolster,,,arrest,,,targeted,
,boom,,,arrested,,,tortured,
,boost,,,assault,,,,
,brave,,,atrocious,,,,
,bravery,,,attack,,,blameless,
,caring,,,attacks,,,bleeding,
,celebrates,,,backlash,,,blood,
,celebrating,,,ban,,,bomb,
,challenge,"also ""challenge""?",,baseless,,,brutal,
,charity,,,,,,buried,
,coherent,,,,,,burned,
,combat,,,coercive,,,captive,
,combative,,,bias,,,casualty,
,commitment,,,,,,caught,
,communities,,,blame,,,challenged,
,confident,,,bomb,,,,
,confront,,,,,,,
,confronted,,,brazen,,,complain,
,conquer,,,brutal,,,,
,contained,,,bullet,,,,
,containment,,,bully,,,,
,courage,,,burned,,,,
,courageous,,,cancelled,,,damage,
,,,,catastrophe,,,damaged,
,,,,chaotic,,,danger,
,defend,,,charged,,,,
,defender,,,chase,,,deaths,
,delivered,,,claim,,,deceased,
,efficient,,,claimed,,,,
,determined,,,clampdown,,,defenceless,
,devoted,,,coercion,,,deported,
,,,,cold,,,depressed,
,donate,,,collude,,,,
,duty,,,commit,,,desperate,
,effective,,,deception,,,detrimental,
,efforts,,,,,,devastated,
,embrace,,,conformity,,,devastation,
,empowered,,,constrained,,,diagnosed,
,encouraging,,,contaminate,,,died,
,ensure,,,contempt,,,disadvantaged,
,establish,,,control,,,disaster,
,evacuate,,,controversial,,,discriminated,
,expand,,,convicted,,,dismiss,
,extraordinary,,,crazy,,,distress,
,faithful,,,crime,,,distrust,
,farsighted,,,criminal,,,,
,fearless,,,crisis,,,escape,
,,,,criticism,,,evacuated,
,,,,,,,,
,,,,damage,,,exile,
,firefighter,,,damaging,,,fatal,
,focus,,,dangerous,,,fate,
,fond,,,,,,feared,
,free,,,deadly,,,fears,
,freedom,,,,,,,
,friendly,,,denounced,,,,
,gentle,,,deny,,,fled,
,glory,,,destroy,,,flee,
,good,,,destructive,,,fleeing,
,grand,,,detain,,,forced,
,great,,,devastate,,,forcing,
,guide,,,dictatorial,,,forsaken,
,happy,,,dirty,,,fragile,
